map,length,fights_won,fights_lost,followers_killed,buildings_destroyed,shamans_killed,followers_lost,buildings_lost,shaman_deaths,value,good
19,2323,19,7,94,8,0,16,0,2,0.6,True
19,2343,25,11,68,0,0,151,7,11,0.6,True
29,1167,35,14,102,10,0,28,0,4,0.6,True
29,1167,21,23,26,2,0,105,7,5,0.6,True
29,980,29,3,90,6,0,16,0,6,0.533333333333,True
29,979,20,6,15,5,0,96,1,4,0.533333333333,True
29,865,21,0,81,5,0,6,1,2,0.466666666667,False
29,868,7,1,5,3,0,86,3,3,0.466666666667,False
27,1185,23,1,107,15,0,5,0,2,0.466666666667,False
27,1185,6,64,6,0,0,110,14,3,0.466666666667,False
29,2783,47,39,226,55,0,131,5,13,0.6,True
29,2770,79,17,128,10,0,230,44,15,0.6,True
19,0,0,0,0,0,0,0,0,0,0.466666666667,False
19,1771,125,24,201,18,0,61,0,9,0.466666666667,False
30,846,7,0,4,2,0,4,0,0,0.333333333333,False
30,0,0,0,0,0,0,0,0,0,0.333333333333,False
30,861,17,1,19,1,0,31,7,3,0.333333333333,False
30,852,0,0,0,0,0,0,0,0,0.333333333333,False
29,1221,107,13,93,0,0,16,0,0,0.533333333333,True
29,1249,11,66,16,0,0,93,0,3,0.533333333333,True
29,857,26,0,61,2,0,4,0,0,0.466666666667,False
29,0,0,0,0,0,0,0,0,0,0.466666666667,False
30,4974,469,418,772,49,0,890,91,33,0.466666666667,False
30,4976,0,0,1,0,0,0,0,5,0.466666666667,False
30,4986,0,0,3,1,0,1,0,0,0.466666666667,False
30,4969,591,326,874,110,0,793,36,44,0.466666666667,False
30,2209,0,0,0,0,0,0,0,0,0.733333333333,True
30,2209,193,111,362,52,0,254,7,14,0.733333333333,True
30,2182,136,142,246,20,0,358,26,21,0.733333333333,True
30,2197,0,0,0,0,0,0,0,0,0.733333333333,True
27,1621,0,0,0,0,0,0,0,0,0.733333333333,True
27,1615,0,0,0,0,0,0,0,0,0.733333333333,True
27,1631,60,43,218,17,0,138,2,11,0.733333333333,True
27,1624,63,27,136,3,0,225,12,12,0.733333333333,True
169,3975,115,106,299,15,0,184,4,8,0.466666666667,False
